Player -> 1, Opponent -> -1, Empty -> 0
-1 1 -1 -1 1 1 1 0 -1 
1 -1 1 0 -1 -1 -1 1 1 
-1 1 -1 0 1 -1 1 -1 1 
1 -1 1 0 1 -1 -1 1 -1 
-1 -1 0 1 -1 1 -1 1 1 
0 1 1 -1 -1 0 0 -1 1 
0 0 0 -1 1 -1 1 1 -1 
0 0 1 1 1 -1 0 -1 -1 
-1 0 0 0 1 -1 1 1 -1 
-1 1 1 0 -1 0 1 -1 0 
0 1 -1 0 -1 -1 0 1 1 
0 1 0 -1 1 -1 0 -1 1 
1 -1 1 0 0 0 -1 1 -1 
-1 0 1 0 0 1 -1 1 -1 
0 -1 -1 0 1 1 1 0 -1 
-1 0 1 1 -1 0 -1 0 1 
0 1 0 -1 0 0 0 -1 1 
0 0 -1 0 0 1 0 -1 1 
0 1 0 0 -1 0 0 1 -1 
0 -1 0 0 -1 1 0 1 0 
-1 1 0 0 0 0 1 0 -1 
0 0 -1 -1 0 0 1 1 0 
0 -1 0 1 0 -1 0 1 0 
1 -1 0 0 0 0 0 -1 1 
1 1 -1 0 0 -1 0 0 0 
1 0 0 -1 0 0 1 0 -1 
-1 0 0 1 -1 0 0 1 0 
-1 0 -1 0 0 0 1 0 1 
1 1 0 0 0 0 -1 0 -1 
0 1 0 1 -1 -1 0 0 0 
0 -1 0 0 1 0 0 -1 1 
0 0 1 -1 0 0 1 -1 0 
0 1 0 0 0 -1 0 1 -1 
-1 0 0 0 1 -1 0 0 1 
0 0 -1 0 1 0 -1 0 1 
0 0 -1 0 0 1 1 0 -1 
0 0 -1 0 0 1 0 0 0 
-1 0 0 1 0 0 0 0 0 
0 0 1 0 -1 0 0 0 0 
0 -1 0 0 0 0 0 1 0 
0 1 -1 0 0 0 0 0 0 
0 0 0 0 1 0 0 0 -1 
1 0 0 -1 0 0 0 0 0 
0 1 0 -1 0 0 0 0 0 
0 0 0 1 0 0 -1 0 0 
0 1 0 0 0 0 -1 0 0 
0 1 -1 0 0 0 0 0 0 
0 0 0 0 0 -1 1 0 0 
0 0 0 0 -1 1 0 0 0 
0 0 0 0 1 0 -1 0 0 
0 1 0 0 -1 0 0 0 0 
0 0 0 1 0 0 0 -1 0 
0 -1 0 0 0 1 0 0 0 
1 0 0 0 0 0 0 -1 0 
0 0 1 0 0 0 0 0 -1 
0 0 0 1 0 0 0 -1 0 
0 0 0 1 0 0 -1 0 0 
1 0 -1 0 0 0 0 0 0 
1 0 0 0 0 0 -1 0 0 
0 1 0 0 0 0 0 -1 0 
0 0 0 0 0 -1 0 0 1 
