Age Height Weight
# Men:
20 150 51.3
20 155 58.5
20 160 62.9
20 165 68.7
20 170 72.7
20 175 80.7
20 180 85.1
20 185 93.0
20 190 97.1
22 150 51.3
22 155 58.5
22 160 62.9
22 165 68.7
22 170 72.7
22 175 80.7
22 180 85.1
22 185 93.0
22 190 97.1
24 150 51.3
24 155 58.5
24 160 62.9
24 165 68.7
24 170 72.7
24 175 80.7
24 180 85.1
24 185 93.0
24 190 97.1
26 150 51.3
26 155 58.5
26 160 62.9
26 165 68.7
26 170 72.7
26 175 80.7
26 180 85.1
26 185 93.0
26 190 97.1
28 150 51.3
28 155 58.5
28 160 62.9
28 165 68.7
28 170 72.7
28 175 80.7
28 180 85.1
28 185 93.0
28 190 97.1
30 150 56.7
30 155 64.3
30 160 69.4
30 165 74.4
30 170 77.7
30 175 83.2
30 180 88.0
30 185 95.0
30 190 99.5
32 150 56.7
32 155 64.3
32 160 69.4
32 165 74.4
32 170 77.7
32 175 83.2
32 180 88.0
32 185 95.0
32 190 99.5
34 150 56.7
34 155 64.3
34 160 69.4
34 165 74.4
34 170 77.7
34 175 83.2
34 180 88.0
34 185 95.0
34 190 99.5
36 150 56.7
36 155 64.3
36 160 69.4
36 165 74.4
36 170 77.7
36 175 83.2
36 180 88.0
36 185 95.0
36 190 99.5
38 150 56.7
38 155 64.3
38 160 69.4
38 165 74.4
38 170 77.7
38 175 83.2
38 180 88.0
38 185 95.0
38 190 99.5
40 150 58.1
40 155 67.2
40 160 72.3
40 165 78.0
40 170 81.0
40 175 86.0
40 180 89.9
40 185 96.5
40 190 100.7
42 150 58.1
42 155 67.2
42 160 72.3
42 165 78.0
42 170 81.0
42 175 86.0
42 180 89.9
42 185 96.5
42 190 100.7
44 150 58.1
44 155 67.2
44 160 72.3
44 165 78.0
44 170 81.0
44 175 86.0
44 180 89.9
44 185 96.5
44 190 100.7
46 150 58.1
46 155 67.2
46 160 72.3
46 165 78.0
46 170 81.0
46 175 86.0
46 180 89.9
46 185 96.5
46 190 100.7
48 150 58.1
48 155 67.2
48 160 72.3
48 165 78.0
48 170 81.0
48 175 86.0
48 180 89.9
48 185 96.5
48 190 100.7
50 150 58.0
50 155 65.7
50 160 69.7
50 165 76.2
50 170 79.9
50 175 84.0
50 180 87.5
50 185 92.7
50 190 99.4
52 150 58.0
52 155 65.7
52 160 69.7
52 165 76.2
52 170 79.9
52 175 84.0
52 180 87.5
52 185 92.7
52 190 99.4
54 150 58.0
54 155 65.7
54 160 69.7
54 165 76.2
54 170 79.9
54 175 84.0
54 180 87.5
54 185 92.7
54 190 99.4
56 150 58.0
56 155 65.7
56 160 69.7
56 165 76.2
56 170 79.9
56 175 84.0
56 180 87.5
56 185 92.7
56 190 99.4
58 150 58.0
58 155 65.7
58 160 69.7
58 165 76.2
58 170 79.9
58 175 84.0
58 180 87.5
58 185 92.7
58 190 99.4
60 150 57.3
60 155 63.6
60 160 68.2
60 165 74.2
60 170 76.9
60 175 81.8
60 180 84.4
60 185 88.9
60 190 94.8
62 150 57.3
62 155 63.6
62 160 68.2
62 165 74.2
62 170 76.9
62 175 81.8
62 180 84.4
62 185 88.9
62 190 94.8
64 150 57.3
64 155 63.6
64 160 68.2
64 165 74.2
64 170 76.9
64 175 81.8
64 180 84.4
64 185 88.9
64 190 94.8
66 150 57.3
66 155 63.6
66 160 68.2
66 165 74.2
66 170 76.9
66 175 81.8
66 180 84.4
66 185 88.9
66 190 94.8
68 150 57.3
68 155 63.6
68 160 68.2
68 165 74.2
68 170 76.9
68 175 81.8
68 180 84.4
68 185 88.9
68 190 94.8
# Women:
20 150 48.9
20 155 55.7
20 160 59.8
20 165 65.1
20 170 69.2
20 175 76.7
20 180 80.9
20 185 89.1
20 190 92.3
22 150 48.9
22 155 55.7
22 160 59.8
22 165 65.1
22 170 69.2
22 175 76.7
22 180 80.9
22 185 89.1
22 190 92.3
24 150 48.9
24 155 55.7
24 160 59.8
24 165 65.1
24 170 69.2
24 175 76.7
24 180 80.9
24 185 89.1
24 190 92.3
26 150 48.9
26 155 55.7
26 160 59.8
26 165 65.1
26 170 69.2
26 175 76.7
26 180 80.9
26 185 89.1
26 190 92.3
28 150 48.9
28 155 55.7
28 160 59.8
28 165 65.1
28 170 69.2
28 175 76.7
28 180 80.9
28 185 89.1
28 190 92.3
30 150 53.9
30 155 61.5
30 160 65.8
30 165 71.7
30 170 75.8
30 175 79.8
30 180 83.9
30 185 90.9
30 190 95.8
32 150 53.9
32 155 61.5
32 160 65.8
32 165 71.7
32 170 75.8
32 175 79.8
32 180 83.9
32 185 90.9
32 190 95.8
34 150 53.9
34 155 61.5
34 160 65.8
34 165 71.7
34 170 75.8
34 175 79.8
34 180 83.9
34 185 90.9
